boro,precinct,statistical_murder_flag,vic_age_group,vic_sex,vic_race
the Bronx,47,FALSE,25-44,male,Black
Manhattan,6,TRUE,45-64,male,White
Brooklyn,77,FALSE,18-24,male,Black
Queens,114,FALSE,25-44,male,Black
Brooklyn,75,FALSE,25-44,male,Black
Brooklyn,69,FALSE,18-24,male,Unknown
Queens,113,FALSE,45-64,male,Black
the Bronx,42,TRUE,25-44,male,Black
the Bronx,40,FALSE,18-24,male,White Hispanic
the Bronx,40,FALSE,45-64,male,Black
Manhattan,25,FALSE,25-44,male,White Hispanic
Queens,103,FALSE,45-64,male,Black
Manhattan,23,FALSE,<18,male,Black
Brooklyn,81,FALSE,25-44,male,Black
the Bronx,48,FALSE,18-24,female,White Hispanic
Manhattan,25,FALSE,<18,male,Black
the Bronx,48,FALSE,18-24,male,Black Hispanic
the Bronx,47,FALSE,25-44,male,Black
Brooklyn,73,FALSE,25-44,male,Black
Brooklyn,81,FALSE,25-44,male,Black
Brooklyn,81,FALSE,45-64,male,Black
the Bronx,50,FALSE,25-44,male,Black
the Bronx,42,TRUE,25-44,male,Black
the Bronx,44,FALSE,25-44,male,White Hispanic
the Bronx,43,TRUE,18-24,male,Black
the Bronx,42,FALSE,25-44,male,Black
Brooklyn,81,TRUE,18-24,male,Black
Brooklyn,67,FALSE,18-24,male,Black
Queens,101,TRUE,18-24,male,White Hispanic
Queens,101,TRUE,18-24,male,White Hispanic
Queens,101,TRUE,18-24,male,White Hispanic
Brooklyn,90,FALSE,25-44,male,Black
Manhattan,26,FALSE,18-24,male,White Hispanic
the Bronx,46,FALSE,25-44,male,Black Hispanic
the Bronx,46,TRUE,25-44,male,Black Hispanic
Queens,105,FALSE,25-44,male,Black
the Bronx,42,FALSE,25-44,female,Black Hispanic
the Bronx,44,TRUE,18-24,male,White Hispanic
the Bronx,42,FALSE,25-44,male,Black
the Bronx,47,FALSE,25-44,male,Black
Staten Island,120,TRUE,25-44,male,Black
Staten Island,120,TRUE,25-44,male,Black
the Bronx,44,FALSE,25-44,male,Black
Brooklyn,73,FALSE,<18,male,Black
Brooklyn,62,TRUE,18-24,male,White
Queens,105,FALSE,25-44,male,Black
Brooklyn,69,FALSE,Unkown,unkown,Unknown
Brooklyn,69,FALSE,Unkown,unkown,Unknown
Queens,102,FALSE,18-24,female,Black
Queens,102,FALSE,25-44,female,Black
Queens,102,FALSE,25-44,female,White Hispanic
Queens,102,FALSE,25-44,male,Black
Staten Island,120,FALSE,25-44,male,Black
Staten Island,120,FALSE,25-44,male,Black
Staten Island,120,FALSE,25-44,male,Black
Brooklyn,90,FALSE,25-44,male,Black
the Bronx,48,FALSE,18-24,male,Black Hispanic
Brooklyn,71,FALSE,<18,male,Black
the Bronx,52,FALSE,<18,female,White Hispanic
Brooklyn,73,FALSE,25-44,male,Black
Brooklyn,67,FALSE,18-24,male,Black
Brooklyn,79,TRUE,25-44,male,Black
Brooklyn,81,FALSE,18-24,male,Black
Brooklyn,81,FALSE,18-24,male,Black
Brooklyn,81,TRUE,18-24,male,Black
Manhattan,34,FALSE,18-24,male,Black Hispanic
Staten Island,120,FALSE,18-24,male,Black
Brooklyn,70,FALSE,18-24,male,Black
Manhattan,33,FALSE,18-24,male,White Hispanic
the Bronx,49,FALSE,25-44,male,Black
Brooklyn,73,FALSE,25-44,male,Black
Manhattan,25,FALSE,18-24,male,Black
Brooklyn,88,FALSE,25-44,male,Black
Queens,110,FALSE,25-44,male,Black
Brooklyn,79,FALSE,25-44,male,Black
the Bronx,43,FALSE,<18,female,Black
Brooklyn,71,FALSE,18-24,male,Black
Brooklyn,73,FALSE,25-44,male,Black
the Bronx,42,FALSE,45-64,male,Black
Brooklyn,75,FALSE,18-24,male,White Hispanic
Queens,108,FALSE,45-64,male,Black Hispanic
Queens,108,FALSE,45-64,male,Black Hispanic
Brooklyn,73,FALSE,25-44,female,Black
Brooklyn,83,FALSE,45-64,male,White Hispanic
Brooklyn,73,FALSE,25-44,male,White
the Bronx,44,TRUE,45-64,female,Black Hispanic
Brooklyn,70,FALSE,25-44,female,Black
Brooklyn,70,FALSE,25-44,male,Black
the Bronx,44,FALSE,25-44,male,Black
the Bronx,44,FALSE,25-44,male,White Hispanic
the Bronx,44,TRUE,25-44,male,Black
the Bronx,44,TRUE,25-44,male,White Hispanic
the Bronx,44,FALSE,25-44,male,Black
the Bronx,44,FALSE,25-44,male,White Hispanic
the Bronx,44,TRUE,25-44,male,Black
the Bronx,44,TRUE,25-44,male,White Hispanic
Brooklyn,73,FALSE,<18,male,Black
Brooklyn,70,FALSE,18-24,male,White Hispanic
Brooklyn,70,FALSE,18-24,male,White Hispanic
Brooklyn,69,FALSE,18-24,male,Asian / Pacific Islander
the Bronx,47,FALSE,18-24,male,Black
the Bronx,47,FALSE,18-24,male,Black
the Bronx,47,FALSE,18-24,male,Black
the Bronx,42,FALSE,25-44,male,Black
Queens,114,FALSE,25-44,male,Unknown
Queens,114,FALSE,25-44,male,Unknown
Brooklyn,75,FALSE,18-24,male,Black
Brooklyn,73,FALSE,18-24,male,Black
the Bronx,52,FALSE,25-44,male,White Hispanic
Manhattan,30,FALSE,45-64,male,Black
the Bronx,44,FALSE,25-44,male,Black
Brooklyn,81,FALSE,25-44,male,Black
Brooklyn,79,TRUE,25-44,male,Black
the Bronx,44,FALSE,<18,male,Black
Brooklyn,71,FALSE,45-64,male,Black
Manhattan,32,FALSE,25-44,male,Black
Brooklyn,77,FALSE,18-24,male,Black
the Bronx,47,FALSE,25-44,male,White Hispanic
Brooklyn,83,TRUE,45-64,female,Black Hispanic
the Bronx,43,FALSE,25-44,male,Black
the Bronx,43,FALSE,25-44,male,Black
the Bronx,44,FALSE,25-44,male,Black
Manhattan,28,FALSE,25-44,male,Black
Brooklyn,73,FALSE,25-44,male,Black
Brooklyn,77,FALSE,25-44,male,Black
Queens,109,TRUE,25-44,male,White Hispanic
Queens,114,FALSE,18-24,male,White Hispanic
Manhattan,34,FALSE,18-24,male,White Hispanic
the Bronx,47,FALSE,18-24,male,Black
the Bronx,42,FALSE,25-44,male,Black
Manhattan,25,FALSE,25-44,male,Black
Brooklyn,75,FALSE,45-64,male,White
Queens,103,TRUE,18-24,male,Black
